artist,artist_normalized,appearance_count,country,state_region,city,current_base,gender_identity,artist_type,home_scene,genre_tags,style_tags,performance_type,instruments,languages,career_stage,labels,notable_releases,notable_collaborations,signal_status,spotify_found,soundcloud_found,bandcamp_found,apple_music_found,catalogue_signal,external_signal,website,spotify_url,soundcloud_url,bandcamp_url,apple_music_url,discovery_character,discovery_note,sources,last_verified
BRK×BRK,brk×brk,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
amongst few,amongst few,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Breauxx,breauxx,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Toúcanplay,toúcanplay,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Casey Gordon,casey gordon,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lionel Ray,lionel ray,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
LILA & SALA,lila & sala,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Dj R.A.F,dj r.a.f,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Big Jew,big jew,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
LP Giobb,lp giobb,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Simon Harrison,simon harrison,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
MURFF,murff,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Denton,denton,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Theia,theia,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Stephan May,stephan may,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Anton Tumas,anton tumas,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sperry,sperry,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Opening Ceremony,opening ceremony,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Enmi,enmi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Syd Gris (The Pink Floyd Set),syd gris (the pink floyd set),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Artemistique,artemistique,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Maddy O'Neal (Madhaus Set),maddy o'neal (madhaus set),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Slander presents Before Dawn,slander presents before dawn,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Casmalia,casmalia,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zilkha,zilkha,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Moon Lemonade,moon lemonade,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bandi,bandi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Micha,micha,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bhaskar,bhaskar,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kon Faber,kon faber,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Travis Rose,travis rose,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gaddy,gaddy,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Fluffernutter,fluffernutter,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mojo Jojo,mojo jojo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Tobi with DJ Bang3rz & Shitz Poppinoff,tobi with dj bang3rz & shitz poppinoff,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nick Wood,nick wood,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ves [Non Profit Rave],ves [non profit rave],1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Non Profit Rave DJs,non profit rave djs,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lazer,lazer,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Leandro Silva,leandro silva,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Julean,julean,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Space Case,space case,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lidiya b2b blackbrook,lidiya b2b blackbrook,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Stré,stré,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
PK b2b Frisbee,pk b2b frisbee,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Khalessi,khalessi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mihir,mihir,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sahara Dawn,sahara dawn,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Dr. Dom,dr. dom,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lola Jak,lola jak,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Myles O' Neal,myles o' neal,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
MNTRA,mntra,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
MARK:AM,mark:am,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Deiv Schön,deiv schön,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Amongst Two,amongst two,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Lady Vitamins,dj lady vitamins,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sagmo,sagmo,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Matony,matony,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nativo,nativo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ahau,ahau,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Yaku Means Water,yaku means water,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sirius,sirius,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
JDLayD,jdlayd,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mona Pirzad,mona pirzad,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Volition,volition,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Theiå,theiå,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
&how,&how,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Fancypants,fancypants,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mr. Bold,mr. bold,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
jester,jester,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
sam drake,sam drake,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mr Noisy,mr noisy,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
VLVT // PLSE,vlvt // plse,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kristin Lush,kristin lush,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Orbit and Rampue,orbit and rampue,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Rampue / Orbit,rampue / orbit,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Doin’ Us,doin’ us,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sensanik,sensanik,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Marvin Yam,marvin yam,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Compass and Pink,compass and pink,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ramsey,ramsey,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Fred,fred,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Cos McBooty,cos mcbooty,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Elevated Frequencies,elevated frequencies,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Mojo,dj mojo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Dready Mojo,dready mojo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
JustCJ,justcj,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Syd Gris,syd gris,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
SISO,siso,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Razing Prophet,razing prophet,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Deadmau5,deadmau5,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Farin,farin,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Double Touch x Justin Belcher,double touch x justin belcher,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Natipitch x Justin Belcher,natipitch x justin belcher,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Carte Blanche,carte blanche,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Reverend Moon,reverend moon,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Aeion Solars,aeion solars,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Spaxterzone!,spaxterzone!,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Interrupt,interrupt,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Will Chase,will chase,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Moldover,moldover,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sidequest,sidequest,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Only Bangers,only bangers,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Organism,organism,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
4Day,4day,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Whitefish,whitefish,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DAWdust,dawdust,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Actiongrl,actiongrl,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Todd Spero,todd spero,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Philip Evans,philip evans,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Don Gentry,don gentry,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Poston,poston,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Titanic Ends line up,titanic ends line up,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Big Joe Daddy,big joe daddy,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bell Ringer,bell ringer,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Heavenly Father,heavenly father,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zapper,zapper,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
M3M0,m3m0,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
CHEETATAH,cheetatah,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Extraterrestrial Cabaret,extraterrestrial cabaret,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Go South,go south,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Greggio,greggio,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
SIB,sib,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Amour Propre,amour propre,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lidiya,lidiya,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Atin,atin,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Elan Schnider,elan schnider,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Millad,millad,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Reo b2b Hooolia,reo b2b hooolia,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kina b2b Moni,kina b2b moni,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gilarden,gilarden,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
ONNIX,onnix,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kohbain,kohbain,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
OBER,ober,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kiran,kiran,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ramzi,ramzi,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lost Desert,lost desert,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
POMBOKLAP,pomboklap,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ruxputin,ruxputin,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Jericho Fresco,dj jericho fresco,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
HUMO BLANCO,humo blanco,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Durry,dj durry,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Adaamar,adaamar,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Subsoniq b2b Mad,subsoniq b2b mad,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Dani Soul,dani soul,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gaeb,gaeb,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kobe b2b Krüz,kobe b2b krüz,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ricky Sizzle,ricky sizzle,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Casa Chic,casa chic,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Double Jointed,double jointed,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gonze,gonze,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jungle Jess,jungle jess,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Brandoh,brandoh,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jean Jacque,jean jacque,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Baby Cakes,baby cakes,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Tropic Bomba,tropic bomba,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Miko Franconi,miko franconi,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Erik Lohr,erik lohr,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Edward Frame,edward frame,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Joey with the Mustache,joey with the mustache,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jyoshy,jyoshy,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kosmic Lovers,kosmic lovers,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Disco Pickles,disco pickles,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
The Playa Devil,the playa devil,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ tba (Trevor Blake Anderson),dj tba (trevor blake anderson),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Slate,slate,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Niall Augustine,niall augustine,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bim Tim,bim tim,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Subaquaria,subaquaria,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gabi b2b Sasta,gabi b2b sasta,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Saga,saga,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Barb,dj barb,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Wronski,wronski,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Joanna Magik,joanna magik,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Cryss,cryss,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
BRKxBRK,brkxbrk,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Franccesco Cardenas,franccesco cardenas,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Gonza,dj gonza,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
5MoXo,5moxo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Locxito,locxito,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
I.S.H,i.s.h,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Chris Tower,chris tower,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Josh Forster,josh forster,5,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Special Guest (Sunrise),special guest (sunrise),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mighty Misfit Camp DJs,mighty misfit camp djs,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Îzma,îzma,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
ROOF,roof,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
JEHNEE,jehnee,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Melissa Dust,melissa dust,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
The Boogie Sisters,the boogie sisters,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Local Honey,local honey,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
EVA BLU,eva blu,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
_nophones,_nophones,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Museus,museus,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Andy Shaw,andy shaw,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Fear the Youth,fear the youth,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
The Golden One,the golden one,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mario Lui,mario lui,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Philou,philou,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Roy Rosenfeld b2b Vanjee,roy rosenfeld b2b vanjee,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Rafael,rafael,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Galactivators,galactivators,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Thiccboi Drewski,thiccboi drewski,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Infected Mushroom (Live),infected mushroom (live),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Infected Mushroom (DJ Set),infected mushroom (dj set),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Speaker Honey,speaker honey,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Saucy,saucy,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
RA,ra,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Noel,noel,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Aspirin,aspirin,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Astronominal,astronominal,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mathias,mathias,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Onelife,onelife,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Serapher,serapher,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Brett David,brett david,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Raw Safari,raw safari,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Danger Foley,danger foley,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Puddles,puddles,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Golden,golden,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
YOU&I,you&i,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lovecraft b2b Rodriguez Jr,lovecraft b2b rodriguez jr,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Shahbbles,shahbbles,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
NHIBIT,nhibit,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jimmy Dirt,jimmy dirt,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mo'Steph,mo'steph,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
"Nat, not Nate","nat, not nate",1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Dana K,dana k,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Orb,orb,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mango,mango,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Santi,santi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Stork B2B Ringo,stork b2b ringo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Omni B2B Owen,omni b2b owen,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Caro B2B Anna,caro b2b anna,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Chinatown,chinatown,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
"Nyashville, TenISee","nyashville, tenisee",2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Parrzan,parrzan,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Snark House DJ's,snark house dj's,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Benni,benni,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Damien,damien,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Rickshaw,rickshaw,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Armin,armin,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
