artist,artist_normalized,appearance_count,country,state_region,city,current_base,gender_identity,artist_type,home_scene,genre_tags,style_tags,performance_type,instruments,languages,career_stage,labels,notable_releases,notable_collaborations,signal_status,spotify_found,soundcloud_found,bandcamp_found,apple_music_found,catalogue_signal,external_signal,website,spotify_url,soundcloud_url,bandcamp_url,apple_music_url,discovery_character,discovery_note,sources,last_verified
Hooolia,hooolia,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kina,kina,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Noumena,noumena,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
RoyGBiv,roygbiv,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nasty Nate,nasty nate,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zank,zank,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
De La Mora,de la mora,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
HugoA,hugoa,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Igor Marijuan,igor marijuan,5,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Leyl Master Black,leyl master black,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Seth Schwarz,seth schwarz,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zenti,zenti,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
&ily,&ily,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kirby,kirby,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gongo,gongo,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Iman Rizky,iman rizky,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Binative (Groovercreator & GeoXie),binative (groovercreator & geoxie),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Neuromancer,neuromancer,6,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Amanda Gaez,amanda gaez,6,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Buddha Bass,buddha bass,6,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Funky Town DJs,funky town djs,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Major Trouble,major trouble,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mad,mad,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Augustine,augustine,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Rameff,rameff,5,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Oba + Flip,oba + flip,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kawas,kawas,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Enamour,enamour,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Rebolledo,rebolledo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lovecraft,lovecraft,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Strangelove,dj strangelove,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jo.Ke,jo.ke,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Pound Star,pound star,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Remy D,remy d,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Spenser Morris,spenser morris,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Heart On,heart on,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Rippers Row b2b,rippers row b2b,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Socket,socket,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Witch Doctor,witch doctor,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bobby Poppers,bobby poppers,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Deoxidized LineUp,deoxidized lineup,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bread Again,bread again,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ ABT,dj abt,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Captain,captain,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Snark House DJs,snark house djs,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
SugarPhuck,sugarphuck,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zuquim,zuquim,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Tertronic,tertronic,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Neco,neco,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
TOVA,tova,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Darrin Farrow,darrin farrow,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Natou,natou,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
KAMA,kama,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
